|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       6 |       10250 |       06:50:52 |         1.66 |              |       1.3773 |              |      1.0000e-07 |
|       6 |       10300 |       06:52:26 |         1.23 |              |       0.7599 |              |      1.0000e-07 |
|       6 |       10350 |       06:54:01 |         1.13 |              |       0.6394 |              |      1.0000e-07 |
|       6 |       10400 |       06:55:36 |         1.20 |              |       0.7178 |              |      1.0000e-07 |
|       6 |       10450 |       06:57:10 |         1.16 |              |       0.6716 |              |      1.0000e-07 |
|       6 |       10500 |       06:58:45 |         1.22 |              |       0.7412 |              |      1.0000e-07 |
|       6 |       10550 |       07:00:19 |         1.15 |              |       0.6560 |              |      1.0000e-07 |
|       6 |       10600 |       07:01:53 |         1.29 |              |       0.8280 |              |      1.0000e-07 |
|       6 |       10650 |       07:03:28 |         0.96 |              |       0.4576 |              |      1.0000e-07 |
|       6 |       10700 |       07:05:02 |         1.33 |              |       0.8811 |              |      1.0000e-07 |
|       6 |       10750 |       07:06:37 |         1.32 |              |       0.8700 |              |      1.0000e-07 |
|       6 |       10800 |       07:12:28 |         1.54 |         1.30 |       1.1854 |       0.8465 |      1.0000e-07 |
|       7 |       10850 |       07:14:06 |         1.30 |              |       0.8420 |              |      1.0000e-08 |
|       7 |       10900 |       07:15:40 |         1.52 |              |       1.1544 |              |      1.0000e-08 |
|       7 |       10950 |       07:17:16 |         1.29 |              |       0.8384 |              |      1.0000e-08 |
|       7 |       11000 |       07:18:51 |         1.38 |              |       0.9505 |              |      1.0000e-08 |
|       7 |       11050 |       07:20:25 |         1.25 |              |       0.7754 |              |      1.0000e-08 |
|       7 |       11100 |       07:22:00 |         1.16 |              |       0.6718 |              |      1.0000e-08 |
